date,var3,var1,var5,var2,var4
2018-04-26,7.1,138,23,0.19,0
2018-04-27,7.0,112,29,0.49,0
2018-04-28,14.0,147,23,0.44,0
2018-04-29,8.1,116,30,0.39,0
2018-04-30,10.8,120,22,0.46,0
2018-05-01,10.5,104,32,0.43,0
2018-05-02,15.0,106,31,0.54,0
2018-05-03,11.7,126,24,0.44,0
2018-05-04,14.6,114,26,0.35,0
2018-05-05,18.5,142,17,0.52,0
2018-05-06,14.4,101,32,0.39,0
2018-05-07,12.7,118,23,0.46,0
2018-05-08,5.7,116,27,0.36,0
2018-05-09,11.4,100,29,0.33,0
2018-05-10,13.6,105,22,0.4,0
2018-05-11,11.7,119,21,0.39,0
2018-05-12,17.5,123,27,0.43,0
2018-05-13,14.4,118,23,0.35,0
2018-05-14,14.1,124,22,0.19,0
2018-05-15,16.0,127,20,0.32,0
2018-05-16,10.8,98,26,0.44,0
2018-05-17,4.4,119,34,0.32,0
2018-05-18,12.8,143,15,0.32,0
2018-05-19,15.7,121,33,0.44,0
2018-05-20,10.5,129,22,0.26,0
2018-05-21,10.4,111,24,0.17,0
2018-05-22,10.1,132,25,0.3,0
2018-05-23,18.6,132,23,0.27,0
2018-05-24,16.9,119,25,0.21,0
2018-05-25,11.4,141,22,0.28,0
2018-05-26,10.4,100,30,0.34,0
2018-05-27,7.5,95,29,0.29,0
2018-05-28,14.7,129,28,0.31,0
2018-05-29,14.6,131,16,0.45,0
2018-05-30,12.2,98,25,0.23,0
2018-05-31,11.5,105,25,0.29,0
2018-06-01,18.1,93,26,0.2,0
2018-06-02,7.4,105,29,0.16,0
2018-06-03,7.6,127,27,0.18,0
2018-06-04,10.2,114,17,0.18,0
2018-06-05,5.9,106,26,0.26,0
2018-06-06,6.2,107,26,0.45,0
2018-06-07,6.0,90,30,0.13,0
2018-06-08,7.5,103,22,0.16,0
2018-06-09,8.9,118,24,0.18,0
2018-06-10,14.8,132,19,0.22,0
2018-06-11,11.1,126,23,0.2,0
2018-06-12,8.4,89,23,0.29,0
2018-06-13,15.4,127,22,-0.09,0
2018-06-14,9.8,121,22,-0.09,0
2018-06-15,11.3,121,24,0.09,0
2018-06-16,11.7,106,30,0.24,0
2018-06-17,4.5,103,29,-0.03,0
2018-06-18,2.6,98,34,-0.19,0
2018-06-19,9.8,88,30,0.16,0
2018-06-20,10.9,94,34,0.12,0
2018-06-21,15.7,95,36,-0.02,0
2018-06-22,10.9,104,30,-0.02,0
2018-06-23,14.0,115,26,-0.02,0
2018-06-24,9.7,103,31,0.08,0
2018-06-25,9.4,85,34,-0.01,0
2018-06-26,17.2,122,30,0.1,1
2018-06-27,5.6,120,29,-0.25,0
2018-06-28,12.5,113,31,-0.06,0
2018-06-29,18.5,121,26,-0.09,0
2018-06-30,11.1,103,31,-0.01,0
2018-07-01,16.9,119,27,-0.05,0
2018-07-02,6.4,83,27,0.08,0
2018-07-03,9.3,94,36,-0.2,0
2018-07-04,8.9,88,24,-0.02,0
2018-07-05,1.9,86,36,0.03,0
2018-07-06,4.9,84,34,0.15,0
2018-07-07,6.9,102,28,-0.1,0
2018-07-08,13.3,108,30,-0.02,0
2018-07-09,12.5,99,32,-0.24,0
2018-07-10,9.2,82,27,-0.31,0
2018-07-11,13.2,107,35,0.0,0
2018-07-12,9.5,100,30,-0.09,0
2018-07-13,12.6,90,43,0.02,0
2018-07-14,10.0,100,33,-0.24,0
2018-07-15,8.6,84,33,-0.06,0
2018-07-16,7.9,87,29,0.06,0
2018-07-17,12.8,107,28,-0.09,0
2018-07-18,7.1,84,33,-0.11,1
2018-07-19,11.9,90,39,-0.15,0
2018-07-20,7.1,105,35,-0.31,1
2018-07-21,6.5,98,32,-0.03,0
2018-07-22,9.5,74,44,-0.23,0
2018-07-23,7.4,77,24,-0.13,0
2018-07-24,5.7,71,38,-0.35,0
2018-07-25,12.0,93,37,-0.31,0
2018-07-26,6.8,86,35,-0.06,0
2018-07-27,6.8,74,28,-0.25,0
2018-07-28,14.5,103,36,-0.07,0
2018-07-29,13.3,87,36,-0.24,0
2018-07-30,12.4,77,36,-0.42,0
2018-07-31,7.7,85,33,-0.15,0
2018-08-01,12.8,91,41,-0.31,0
2018-08-02,4.2,70,38,-0.19,0
2018-08-03,5.0,77,33,-0.26,0
2018-08-04,2.3,94,27,-0.43,0
2018-08-05,13.2,82,37,-0.26,0
2018-08-06,5.8,84,38,-0.07,0
2018-08-07,7.6,80,34,-0.24,0
2018-08-08,4.0,67,33,-0.31,0
2018-08-09,9.2,71,42,-0.2,0
2018-08-10,6.8,79,29,-0.29,1
2018-08-11,3.2,71,45,-0.3,0
2018-08-12,7.9,66,33,-0.44,0
2018-08-13,4.8,91,25,-0.31,0
2018-08-14,7.0,95,25,-0.24,0
2018-08-15,2.5,88,26,-0.43,0
2018-08-16,4.7,90,30,-0.21,0
2018-08-17,7.5,70,33,-0.37,0
2018-08-18,3.4,93,36,-0.45,0
2018-08-19,2.4,68,40,-0.27,0
2018-08-20,9.1,91,30,-0.41,0
2018-08-21,7.6,92,47,-0.31,0
2018-08-22,14.3,83,32,-0.42,0
2018-08-23,14.6,91,31,-0.4,0
2018-08-24,5.2,78,28,-0.35,0
2018-08-25,8.6,69,35,-0.37,0
2018-08-26,9.6,74,36,-0.61,0
2018-08-27,6.0,78,28,-0.53,0
2018-08-28,1.7,62,35,-0.33,0
2018-08-29,7.8,78,36,-0.44,0
2018-08-30,8.4,89,29,-0.48,0
2018-08-31,5.2,65,33,-0.57,0
2018-09-01,9.5,82,37,-0.54,0
2018-09-02,6.3,86,26,-0.64,0
2018-09-03,5.1,86,27,-0.45,0
2018-09-04,9.0,87,33,-0.51,0
2018-09-05,8.6,74,39,-0.55,0
2018-09-06,5.2,87,34,-0.46,0
2018-09-07,10.8,80,32,-0.42,0
2018-09-08,0.9,62,36,-0.25,0
2018-09-09,5.4,71,40,-0.62,0
2018-09-10,7.0,78,38,-0.35,0
2018-09-11,4.5,64,37,-0.37,0
2018-09-12,5.9,76,33,-0.55,0
2018-09-13,13.2,76,34,-0.46,0
2018-09-14,3.6,62,33,-0.53,0
2018-09-15,14.6,73,34,-0.46,0
2018-09-16,9.2,79,31,-0.33,0
2018-09-17,7.4,71,35,-0.43,0
2018-09-18,7.1,57,36,-0.44,0
2018-09-19,13.3,57,41,-0.53,0
2018-09-20,3.6,66,40,-0.64,0
2018-09-21,4.8,82,31,-0.51,0
2018-09-22,4.0,63,33,-0.37,0
2018-09-23,7.5,74,38,-0.65,0
2018-09-24,1.0,62,38,-0.6,0
2018-09-25,6.6,65,35,-0.48,0
2018-09-26,13.1,80,40,-0.6,0
2018-09-27,8.1,76,31,-0.58,0
2018-09-28,5.0,59,28,-0.54,1
2018-09-29,4.9,68,32,-0.64,0
2018-09-30,8.4,57,46,-0.6,0
2018-10-01,4.4,69,34,-0.43,0
2018-10-02,13.0,75,32,-0.63,0
2018-10-03,11.7,59,38,-0.66,0
2018-10-04,7.2,64,42,-0.56,0
2018-10-05,6.7,67,36,-0.43,0
2018-10-06,11.3,82,36,-0.52,0
2018-10-07,11.7,84,32,-0.54,0
2018-10-08,3.3,57,41,-0.49,0
2018-10-09,6.2,78,35,-0.67,0
2018-10-10,2.7,67,34,-0.44,0
2018-10-11,7.9,67,37,-0.45,0
2018-10-12,9.8,78,31,-0.53,0
2018-10-13,4.2,82,26,-0.39,0
2018-10-14,7.0,84,33,-0.6,0
2018-10-15,3.3,73,28,-0.37,0
2018-10-16,4.0,67,39,-0.47,0
2018-10-17,9.6,79,34,-0.51,0
2018-10-18,4.2,64,44,-0.48,0
2018-10-19,6.4,73,33,-0.49,1
2018-10-20,1.9,68,36,-0.35,0
2018-10-21,8.2,76,27,-0.58,0
2018-10-22,6.4,65,31,-0.54,0
2018-10-23,4.1,63,29,-0.36,0
2018-10-24,7.8,84,38,-0.52,0
2018-10-25,6.6,61,35,-0.37,0
2018-10-26,4.9,73,42,-0.28,0
2018-10-27,2.1,65,23,-0.49,0
2018-10-28,11.4,60,45,-0.38,0
2018-10-29,4.1,60,37,-0.56,0
2018-10-30,6.1,64,38,-0.36,0
2018-10-31,11.5,85,27,-0.41,0
2018-11-01,17.4,68,39,-0.38,0
2018-11-02,5.1,88,30,-0.49,0
2018-11-03,9.0,77,28,-0.59,0
2018-11-04,5.2,73,29,-0.37,0
2018-11-05,6.2,78,28,-0.62,0
2018-11-06,5.4,76,36,-0.44,0
2018-11-07,5.0,84,30,-0.31,0
2018-11-08,6.9,70,27,-0.38,0
2018-11-09,2.8,72,37,-0.2,0
2018-11-10,11.7,89,21,-0.28,1
2018-11-11,9.3,91,38,-0.44,0
2018-11-12,10.3,90,41,-0.37,0
2018-11-13,6.1,75,28,-0.37,0
2018-11-14,7.6,87,37,-0.52,0
2018-11-15,8.7,78,36,-0.45,0
2018-11-16,4.4,79,31,-0.41,0
2018-11-17,5.9,70,33,-0.55,0
2018-11-18,5.7,83,36,-0.33,0
2018-11-19,4.3,70,35,-0.36,0
2018-11-20,1.2,75,22,-0.49,0
2018-11-21,13.2,92,41,-0.28,0
2018-11-22,5.1,72,37,-0.24,0
2018-11-23,10.3,68,36,-0.28,0
2018-11-24,10.0,68,32,-0.33,0
2018-11-25,5.8,97,29,-0.23,0
2018-11-26,5.0,83,39,-0.22,0
2018-11-27,15.7,80,35,-0.25,0
2018-11-28,14.7,94,33,-0.35,0
2018-11-29,9.5,96,24,-0.23,0
2018-11-30,8.7,79,32,-0.13,0
2018-12-01,7.3,92,31,-0.31,0
2018-12-02,10.8,95,34,-0.03,0
2018-12-03,6.9,91,29,-0.28,0
2018-12-04,1.3,74,39,-0.22,0
2018-12-05,6.0,100,24,-0.28,0
2018-12-06,9.0,89,32,-0.19,1
2018-12-07,4.6,80,33,-0.37,0
2018-12-08,8.4,86,25,-0.25,0
2018-12-09,4.0,72,35,-0.29,0
2018-12-10,5.3,76,31,-0.16,0
2018-12-11,12.5,99,37,-0.07,0
2018-12-12,7.9,72,33,-0.1,0
2018-12-13,8.8,88,34,-0.39,0
2018-12-14,11.8,92,25,0.06,0
2018-12-15,8.9,75,36,-0.11,0
2018-12-16,15.3,110,25,-0.21,0
2018-12-17,6.9,83,29,-0.1,0
2018-12-18,7.3,86,46,-0.09,0
2018-12-19,4.7,86,31,-0.17,0
2018-12-20,7.1,84,32,-0.07,0
2018-12-21,10.5,76,39,-0.15,0
2018-12-22,14.3,104,25,-0.12,0
2018-12-23,14.3,114,29,-0.14,1
2018-12-24,3.2,86,35,-0.2,0
2018-12-25,13.5,103,30,-0.04,0
2018-12-26,5.2,107,40,0.02,0
2018-12-27,13.9,112,23,0.02,0
2018-12-28,8.4,95,38,0.06,0
2018-12-29,11.2,91,34,0.02,0
2018-12-30,5.3,93,35,-0.06,0
2018-12-31,14.4,109,29,0.08,0
2019-01-01,6.9,113,36,-0.13,0
2019-01-02,6.8,88,30,-0.07,0
2019-01-03,6.6,96,33,-0.07,0
2019-01-04,6.5,118,32,0.14,0
2019-01-05,11.8,115,24,0.14,0
2019-01-06,17.7,123,30,0.1,0
2019-01-07,19.4,114,27,0.17,0
2019-01-08,10.3,100,23,-0.02,0
2019-01-09,14.2,108,21,0.11,0
2019-01-10,11.9,112,27,0.07,0
2019-01-11,10.3,88,37,0.18,0
2019-01-12,9.8,108,18,0.09,0
2019-01-13,12.2,116,27,0.07,0
2019-01-14,10.9,93,35,0.17,0
2019-01-15,10.3,120,19,0.22,0
2019-01-16,11.0,112,24,0.07,0
2019-01-17,12.6,128,27,0.14,0
2019-01-18,11.4,89,36,0.05,0
2019-01-19,6.7,99,38,-0.09,0
2019-01-20,11.3,115,24,0.19,0
2019-01-21,15.9,102,25,0.24,0
2019-01-22,15.6,121,34,0.21,0
2019-01-23,16.3,123,21,-0.0,0
2019-01-24,9.5,94,33,0.17,0
2019-01-25,12.3,113,38,-0.01,0
2019-01-26,14.3,113,31,0.35,0
2019-01-27,15.5,108,32,0.12,0
2019-01-28,7.5,134,29,0.36,0
2019-01-29,9.0,129,26,0.33,0
2019-01-30,16.3,124,29,0.16,0
2019-01-31,11.7,125,23,0.14,0
2019-02-01,9.4,114,32,0.3,0
2019-02-02,9.8,136,24,0.18,0
2019-02-03,10.9,126,17,0.29,0
2019-02-04,8.6,128,25,0.24,0
2019-02-05,19.7,134,12,0.11,0
2019-02-06,10.6,107,32,0.07,0
2019-02-07,13.1,133,22,0.33,0
2019-02-08,12.2,104,38,0.25,0
2019-02-09,14.1,112,30,0.26,0
2019-02-10,14.0,112,32,0.39,0
2019-02-11,17.5,143,16,0.45,0
2019-02-12,11.8,137,26,0.31,0
2019-02-13,12.1,130,20,0.31,0
2019-02-14,15.5,132,29,0.4,0
2019-02-15,10.8,124,19,0.22,0
2019-02-16,14.3,143,21,0.38,1
2019-02-17,13.4,122,19,0.42,0
2019-02-18,14.1,117,27,0.44,0
2019-02-19,5.3,106,38,0.19,0
2019-02-20,15.8,137,26,0.31,0
2019-02-21,12.8,135,22,0.3,0
2019-02-22,13.9,118,14,0.41,0
2019-02-23,12.3,100,27,0.45,0
2019-02-24,18.9,141,24,0.56,0
2019-02-25,14.1,100,27,0.36,0
2019-02-26,17.5,135,30,0.37,0
2019-02-27,19.2,149,20,0.54,0
2019-02-28,13.1,122,30,0.45,0
2019-03-01,11.3,112,28,0.56,0
2019-03-02,16.2,136,21,0.46,1
2019-03-03,16.4,142,19,0.32,0
2019-03-04,12.0,129,19,0.31,0
2019-03-05,16.2,150,25,0.29,0
2019-03-06,10.3,104,27,0.52,0
2019-03-07,10.1,127,27,0.57,0
2019-03-08,17.8,139,19,0.64,0
2019-03-09,14.8,146,15,0.54,0
2019-03-10,17.2,111,30,0.58,0
2019-03-11,9.4,143,17,0.41,0
2019-03-12,11.4,131,21,0.35,0
2019-03-13,12.4,123,19,0.56,0
2019-03-14,14.4,110,25,0.52,0
2019-03-15,15.9,147,20,0.49,0
2019-03-16,12.0,111,26,0.52,0
2019-03-17,8.5,119,30,0.52,0
2019-03-18,8.3,118,27,0.61,0
2019-03-19,15.8,148,35,0.62,0
2019-03-20,9.7,138,24,0.54,0
2019-03-21,12.9,145,12,0.58,0
2019-03-22,13.2,117,25,0.54,0
2019-03-23,10.7,136,22,0.45,0
2019-03-24,18.1,133,20,0.57,0
2019-03-25,18.4,147,20,0.36,0
2019-03-26,10.4,151,16,0.6,0
2019-03-27,7.7,105,30,0.38,0
2019-03-28,7.0,139,12,0.53,0
2019-03-29,8.4,107,34,0.41,0
2019-03-30,15.6,133,15,0.55,0
2019-03-31,10.7,119,24,0.5,0
2019-04-01,13.4,120,22,0.34,0
2019-04-02,7.6,122,27,0.54,0
2019-04-03,16.0,136,21,0.44,0
2019-04-04,10.4,121,27,0.59,0
2019-04-05,14.2,142,27,0.5,0
2019-04-06,12.2,125,28,0.54,0
2019-04-07,6.9,107,28,0.4,0
2019-04-08,11.0,145,23,0.44,0
2019-04-09,14.8,119,36,0.45,0
2019-04-10,13.8,126,28,0.58,0
2019-04-11,17.1,139,20,0.66,0
2019-04-12,13.1,121,32,0.41,0
2019-04-13,11.0,106,30,0.6,0
2019-04-14,7.1,123,20,0.27,0
2019-04-15,14.4,152,18,0.37,0
2019-04-16,13.5,136,15,0.39,0
2019-04-17,19.7,138,10,0.35,0
2019-04-18,15.7,136,18,0.32,0
2019-04-19,15.9,113,28,0.52,0
2019-04-20,14.2,124,25,0.45,0
2019-04-21,12.0,141,14,0.51,0
2019-04-22,11.2,108,16,0.54,0
2019-04-23,12.4,117,33,0.49,0
2019-04-24,8.8,116,27,0.53,0
2019-04-25,11.2,124,32,0.45,0
2019-04-26,14.6,152,27,0.34,0
2019-04-27,15.3,105,32,0.56,0
2019-04-28,6.6,128,24,0.39,0
2019-04-29,14.6,110,26,0.35,0
2019-04-30,12.2,150,23,0.42,0
2019-05-01,6.6,107,27,0.34,0
2019-05-02,15.6,121,22,0.39,0
2019-05-03,16.0,138,11,0.46,0
2019-05-04,17.4,136,22,0.46,0
2019-05-05,14.5,121,31,0.33,0
2019-05-06,17.9,117,32,0.36,0
2019-05-07,13.6,119,26,0.52,0
2019-05-08,10.7,112,23,0.45,0
2019-05-09,11.9,109,32,0.61,0
2019-05-10,16.0,123,25,0.51,0
2019-05-11,8.9,112,25,0.5,0
2019-05-12,9.2,112,20,0.24,0
2019-05-13,12.1,130,34,0.45,0
2019-05-14,8.2,145,24,0.37,0
2019-05-15,13.1,127,28,0.31,0
2019-05-16,4.4,101,25,0.38,0
2019-05-17,10.3,101,30,0.45,0
2019-05-18,16.9,143,20,0.4,0
2019-05-19,9.7,111,31,0.25,0
2019-05-20,15.0,100,36,0.41,0
2019-05-21,8.0,124,18,0.26,0
2019-05-22,16.1,125,19,0.34,0
2019-05-23,14.6,126,28,0.28,0
2019-05-24,5.6,107,26,0.29,0
2019-05-25,17.6,95,35,0.38,0
2019-05-26,13.8,140,20,0.19,0
2019-05-27,8.0,106,22,0.48,0
2019-05-28,8.3,125,16,0.1,0
2019-05-29,11.9,126,27,0.21,0
2019-05-30,11.7,121,28,0.3,0
2019-05-31,11.0,107,33,0.32,0
2019-06-01,9.6,105,30,0.24,0
2019-06-02,13.8,119,7,0.24,0
2019-06-03,11.9,131,26,0.28,0
2019-06-04,7.6,134,15,0.2,0
2019-06-05,9.1,95,21,0.36,0
2019-06-06,2.6,97,20,0.3,0
2019-06-07,14.3,132,13,0.29,0
2019-06-08,9.3,122,26,0.1,0
2019-06-09,13.3,128,20,0.18,0
2019-06-10,13.7,98,22,0.15,0
2019-06-11,8.6,114,27,0.07,0
2019-06-12,15.1,119,20,0.2,0
2019-06-13,10.4,117,31,0.1,0
2019-06-14,15.8,105,36,0.21,0
2019-06-15,7.6,87,31,0.03,0
2019-06-16,8.6,111,34,0.3,0
2019-06-17,11.8,97,37,0.03,0
2019-06-18,9.2,105,29,0.14,0
2019-06-19,10.1,126,33,0.19,0
2019-06-20,8.8,102,26,0.04,0
2019-06-21,11.9,120,16,0.18,0
2019-06-22,13.2,92,23,-0.04,0
2019-06-23,5.4,112,24,0.22,0
2019-06-24,12.5,124,27,0.07,0
2019-06-25,10.6,87,26,-0.0,0
2019-06-26,8.9,83,30,0.02,0
2019-06-27,13.9,100,23,0.12,0
2019-06-28,8.3,85,29,-0.03,0
2019-06-29,10.5,111,34,-0.05,0
2019-06-30,13.5,117,28,-0.01,0
2019-07-01,10.1,98,27,-0.11,0
2019-07-02,7.8,90,38,0.18,0
2019-07-03,11.2,97,30,-0.07,0
2019-07-04,8.8,108,29,0.06,0
2019-07-05,6.1,79,39,-0.01,0
2019-07-06,8.5,101,28,-0.14,0
2019-07-07,14.3,102,34,-0.05,0
2019-07-08,0.5,102,33,0.02,0
2019-07-09,9.8,86,32,-0.08,0
2019-07-10,10.5,104,22,0.05,0
2019-07-11,3.0,80,34,0.02,0
2019-07-12,9.2,83,39,0.0,0
2019-07-13,12.2,108,32,-0.14,0
2019-07-14,12.1,103,37,-0.21,0
2019-07-15,0.0,75,32,-0.18,0
2019-07-16,12.4,83,37,-0.1,0
2019-07-17,6.0,82,28,-0.08,0
2019-07-18,10.4,83,34,-0.36,0
2019-07-19,10.4,82,39,-0.15,0
2019-07-20,4.9,75,39,-0.14,0
2019-07-21,10.9,89,32,-0.19,0
2019-07-22,8.6,98,29,-0.04,0
2019-07-23,3.1,93,26,-0.14,0
2019-07-24,13.0,95,29,-0.06,0
2019-07-25,5.0,73,28,-0.22,0
2019-07-26,7.8,104,27,-0.11,0
2019-07-27,8.7,99,21,-0.05,0
2019-07-28,10.5,97,24,-0.09,0
2019-07-29,9.5,97,34,-0.34,0
2019-07-30,11.7,101,33,-0.26,0
2019-07-31,4.7,87,31,-0.28,0
2019-08-01,5.3,75,35,-0.2,1
2019-08-02,8.5,88,33,-0.19,0
2019-08-03,14.9,92,33,-0.35,0
2019-08-04,8.9,92,33,-0.27,0
2019-08-05,11.7,84,26,-0.48,0
2019-08-06,6.9,68,24,-0.14,0
2019-08-07,6.3,78,29,-0.35,0
2019-08-08,8.9,96,30,-0.3,0
2019-08-09,7.9,84,38,-0.34,0
2019-08-10,10.0,82,34,-0.2,1
2019-08-11,11.4,73,38,-0.6,0
2019-08-12,8.7,76,30,-0.33,0
2019-08-13,12.9,93,31,-0.34,0
2019-08-14,5.6,85,33,-0.39,0
2019-08-15,7.6,88,28,-0.17,0
2019-08-16,5.5,77,29,-0.44,0
2019-08-17,9.2,83,32,-0.28,0
2019-08-18,5.9,70,39,-0.33,0
2019-08-19,10.6,84,28,-0.24,0
2019-08-20,4.7,75,33,-0.44,0
2019-08-21,7.6,75,41,-0.46,0
2019-08-22,10.2,81,31,-0.28,0
2019-08-23,2.8,90,32,-0.35,0
2019-08-24,12.7,63,36,-0.55,0
2019-08-25,7.8,86,31,-0.46,0
2019-08-26,0.8,69,44,-0.37,0
2019-08-27,7.9,74,36,-0.33,0
2019-08-28,6.2,61,29,-0.49,0
2019-08-29,6.7,69,43,-0.71,0
2019-08-30,10.4,74,36,-0.37,0
2019-08-31,8.3,61,35,-0.55,0
2019-09-01,8.3,74,41,-0.64,0
2019-09-02,10.0,86,28,-0.72,0
2019-09-03,5.9,62,46,-0.36,0
2019-09-04,13.4,81,34,-0.44,0
2019-09-05,2.6,70,41,-0.47,0
2019-09-06,8.1,77,49,-0.32,0
2019-09-07,6.8,66,37,-0.4,0
2019-09-08,8.6,62,37,-0.3,0
2019-09-09,3.7,62,32,-0.6,0
2019-09-10,0.8,60,37,-0.47,0
2019-09-11,6.8,63,32,-0.63,0
2019-09-12,8.4,76,33,-0.5,0
2019-09-13,12.7,82,48,-0.5,0
2019-09-14,4.2,80,34,-0.42,0
2019-09-15,11.1,76,32,-0.48,0
2019-09-16,13.1,60,36,-0.42,0
2019-09-17,5.4,65,34,-0.42,0
2019-09-18,2.6,65,42,-0.27,0
2019-09-19,5.2,64,36,-0.52,0
2019-09-20,7.1,71,43,-0.59,0
2019-09-21,8.8,71,34,-0.47,0
2019-09-22,4.8,66,35,-0.57,0
2019-09-23,11.3,66,32,-0.35,0
2019-09-24,4.6,79,32,-0.52,0
2019-09-25,2.6,78,25,-0.55,0
2019-09-26,9.8,65,26,-0.55,0
2019-09-27,1.4,82,36,-0.43,0
2019-09-28,7.7,83,24,-0.52,1
2019-09-29,15.9,65,39,-0.56,0
2019-09-30,6.6,66,34,-0.33,0
2019-10-01,3.6,70,40,-0.59,0
2019-10-02,8.0,82,24,-0.5,0
2019-10-03,7.9,81,36,-0.43,0
2019-10-04,6.4,59,39,-0.66,0
2019-10-05,8.7,67,38,-0.45,0
2019-10-06,4.1,72,41,-0.6,0
2019-10-07,12.1,70,36,-0.41,0
2019-10-08,6.9,62,25,-0.59,0
2019-10-09,10.2,80,36,-0.43,0
2019-10-10,5.6,75,36,-0.38,0
2019-10-11,11.9,80,32,-0.41,0
2019-10-12,7.3,81,29,-0.47,0
